date,type,category,subcategory,amount,platform,merchant,item,method,status,note
2025-07-06 13:58:58,支出,消费,,20.0,Alipay,福州怡山西禅寺,福州怡山西禅寺-消费,零钱,,/
2025-07-06 14:50:00,支出,出行,地铁,2.0,Alipay,福州地铁集团有限公司,福州地铁(凤凰池2025-07-06 14:35:15--省立医院2025-07-06 14:50:37),中国银行储蓄卡(4612),交易成功,
2025-07-06 19:13:22,支出,餐饮,外卖,82.0,Alipay,美团,团购-25070611100400001306255303741545,零钱,,/
2025-07-06 20:32:35,支出,餐饮,正餐,173.2,Alipay,新华都,福州五四店购物,零钱,,/
2025-07-07 01:20:00,支出,出行,打车,12.34,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-07 01:48:00,支出,出行,打车,15.18,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-07 02:11:00,支出,出行,机票酒店,363.5,Alipay,携程旅行网,火车票,中国银行储蓄卡(4612),交易成功,
2025-07-07 11:08:34,支出,餐饮,咖啡奶茶,9.9,Alipay,luckin coffee,订单付款,零钱,,/
2025-07-07 11:18:00,支出,出行,打车,13.89,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-07 12:09:58,收入,消费,,50.0,Alipay,黄晨阳,转账备注:微信转账,/,,/
2025-07-07 17:09:39,支出,餐饮,外卖,24.8,Alipay,美团,小厨娘淮扬菜（秣周东路店）-美团App-25070711100400001306397364482545,零钱,,/
2025-07-07 17:19:05,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-07 21:12:35,支出,餐饮,正餐,100.0,Alipay,东南大学,东南大学-消费,零钱,,/
2025-07-08 10:44:53,支出,医疗,就医,38.0,Alipay,江苏省中医院,1007541749 郑博文挂号费,零钱,,/
2025-07-08 10:48:15,支出,餐饮,外卖,23.59,Alipay,美团,阿婆煲仔饭-美团App-25070811100400001306492438456545,零钱,,/
2025-07-08 10:55:00,支出,餐饮,正餐,0.0,Alipay,东南大学医院,医保支付(不含自费),,支付成功,
2025-07-08 10:56:17,支出,餐饮,正餐,1.0,Alipay,东南大学,东南大学-消费,零钱,,/
2025-07-08 12:07:47,支出,餐饮,咖啡奶茶,9.9,Alipay,luckin coffee,订单付款,零钱,,/
2025-07-08 13:14:42,收入,消费,,55.55,Alipay,沈柔希,转账备注:微信转账,/,,/
2025-07-08 13:27:00,支出,消费,,99.66,Alipay,花呗,花呗自动还款-2025年07月账单,中国银行储蓄卡(4612),还款成功,
